X (cm)	Y (cm)	Z (cm)	Relative Dose (%)
0.00188618	5.40349967	1.5	2.4135002090137
0.00179751	5.14949969	1.5	-0.0996294599097202
0.00170885	4.8954997	1.5	0.130466185064602
0.00162019	4.64149972	1.5	0.298458735637188
0.00153135	4.38699973	1.5	0.354085085276692
0.00144269	4.13299975	1.5	0.291057655403576
0.00135403	3.87899976	1.5	0.619852747654478
0.00126536	3.62499978	1.5	0.528288808269013
0.0011767	3.37099979	1.5	0.0524766485768328
0.00108786	3.11649981	1.5	0.519511896330434
0.00099938	2.86299983	1.5	1.16871057334931
0.00091054	2.60849984	1.5	3.44152288085938
0.00082205	2.35499986	1.5	6.2717076426603
0.00073321	2.10049987	1.5	24.0378215367992
0.00064455	1.84649989	1.5	37.9030421520732
0.00055571	1.5919999	1.5	75.8267302429022
0.00046705	1.33799992	1.5	68.8611919215806
0.00037821	1.08349993	1.5	59.7447814006363
0.00028955	0.82949995	1.5	52.6725955474301
0.00020089	0.57549996	1.5	123.359917512578
0.00011222	0.32149998	1.5	183.248777198065
0.00002356	0.0675	1.5	63.1452605081176
-0.00006528	-0.18699999	1.5	202.101272836068
-0.00015394	-0.44099997	1.5	139.589087938771
-0.0002426	-0.69499996	1.5	64.3237328489083
-0.00033144	-0.94949994	1.5	95.4863760577937
-0.0004201	-1.20349993	1.5	61.197433011018
-0.00050876	-1.45749991	1.5	66.7277785303354
-0.0005976	-1.7119999	1.5	38.0909499073566
-0.00068609	-1.96549988	1.5	19.9035326055703
-0.00077493	-2.21999986	1.5	7.86072569557192
-0.00086359	-2.47399985	1.5	2.42358721333892
-0.00095225	-2.72799983	1.5	1.10254912725897
-0.00104091	-2.98199982	1.5	0.606574414447011
-0.00112975	-3.2364998	1.5	0.482203032700396
-0.00121841	-3.49049979	1.5	0.62481616702047
-0.00130708	-3.74449977	1.5	0.433508131416449
-0.00139574	-3.99849976	1.5	2.84040941291637
-0.0014844	-4.25249974	1.5	0.531744799055068
-0.00157324	-4.50699973	1.5	-0.208798808280353
-0.00166173	-4.76049971	1.5	0.439755221871598
-0.00175057	-5.01499969	1.5	0.37758625672653
-0.00183923	-5.26899968	1.5	0.279999064237139
